Chr_Scaffold	NCBI_ACC	ENS_ACC
scaffold_AADN04012095.1_chrUn	NT_471571.1	AADN04012095.1
scaffold_AADN04012096.1_chrUn	NT_471572.1	AADN04012096.1
scaffold_AADN04012097.1_chrUn	NT_471573.1	AADN04012097.1
scaffold_AADN04012099.1_chrUn	NT_471574.1	AADN04012099.1
scaffold_AADN04012101.1_chrUn	NT_471575.1	AADN04012101.1
scaffold_AADN04012102.1_chrUn	NT_471576.1	AADN04012102.1
scaffold_AADN04012104.1_chrUn	NT_471577.1	AADN04012104.1
scaffold_AADN04012111.1_chrUn	NT_471578.1	AADN04012111.1
scaffold_AADN04012113.1_chrUn	NT_471579.1	AADN04012113.1
scaffold_AADN04012114.1_chrUn	NT_471580.1	AADN04012114.1
scaffold_AADN04012115.1_chrUn	NT_471581.1	AADN04012115.1
scaffold_AADN04012122.1_chrUn	NT_471582.1	AADN04012122.1
scaffold_AADN04012123.1_chrUn	NT_471583.1	AADN04012123.1
scaffold_AADN04012124.1_chrUn	NT_471584.1	AADN04012124.1
scaffold_AADN04012125.1_chrUn	NT_471585.1	AADN04012125.1
scaffold_AADN04012128.1_chrUn	NT_471586.1	AADN04012128.1
scaffold_AADN04012129.1_chrUn	NT_471587.1	AADN04012129.1
scaffold_AADN04012130.1_chrUn	NT_471588.1	AADN04012130.1
scaffold_AADN04012131.1_chrUn	NT_471589.1	AADN04012131.1
scaffold_AADN04012132.1_chrUn	NT_471590.1	AADN04012132.1
scaffold_AADN04012134.1_chrUn	NT_471591.1	AADN04012134.1
scaffold_AADN04001151.1_chrUn	NT_464317.1	AADN04001151.1
scaffold_AADN04012135.1_chrUn	NT_471592.1	AADN04012135.1
scaffold_AADN04012136.1_chrUn	NT_471593.1	AADN04012136.1
scaffold_AADN04012138.1_chrUn	NT_471594.1	AADN04012138.1
scaffold_AADN04012139.1_chrUn	NT_471595.1	AADN04012139.1
scaffold_AADN04012140.1_chrUn	NT_471596.1	AADN04012140.1
scaffold_AADN04012143.1_chrUn	NT_471597.1	AADN04012143.1
scaffold_AADN04001152.1_chrUn	NT_464318.1	AADN04001152.1
scaffold_AADN04012145.1_chrUn	NT_471598.1	AADN04012145.1
scaffold_AADN04012149.1_chrUn	NT_471599.1	AADN04012149.1
scaffold_AADN04012151.1_chrUn	NT_471600.1	AADN04012151.1
scaffold_AADN04012152.1_chrUn	NT_471601.1	AADN04012152.1
scaffold_AADN04001153.1_chrUn	NT_464319.1	AADN04001153.1
scaffold_AADN04012153.1_chrUn	NT_471602.1	AADN04012153.1
scaffold_AADN04012154.1_chrUn	NT_471603.1	AADN04012154.1
scaffold_AADN04012155.1_chrUn	NT_471604.1	AADN04012155.1
scaffold_AADN04012157.1_chrUn	NT_471605.1	AADN04012157.1
scaffold_AADN04012160.1_chrUn	NT_471606.1	AADN04012160.1
scaffold_AADN04012161.1_chrUn	NT_471607.1	AADN04012161.1
scaffold_AADN04012162.1_chrUn	NT_471608.1	AADN04012162.1
scaffold_AADN04012163.1_chrUn	NT_471609.1	AADN04012163.1
scaffold_AADN04012165.1_chrUn	NT_471610.1	AADN04012165.1
scaffold_AADN04012166.1_chrUn	NT_471611.1	AADN04012166.1
scaffold_AADN04012167.1_chrUn	NT_471612.1	AADN04012167.1
scaffold_AADN04012168.1_chrUn	NT_471613.1	AADN04012168.1
scaffold_AADN04012169.1_chrUn	NT_471614.1	AADN04012169.1
scaffold_AADN04012171.1_chrUn	NT_471615.1	AADN04012171.1
scaffold_AADN04012172.1_chrUn	NT_471616.1	AADN04012172.1
scaffold_AADN04001155.1_chrUn	NT_464320.1	AADN04001155.1
scaffold_AADN04012173.1_chrUn	NT_471617.1	AADN04012173.1
scaffold_AADN04012175.1_chrUn	NT_471618.1	AADN04012175.1
scaffold_AADN04012177.1_chrUn	NT_471619.1	AADN04012177.1
scaffold_AADN04012178.1_chrUn	NT_471620.1	AADN04012178.1
scaffold_AADN04012179.1_chrUn	NT_471621.1	AADN04012179.1
scaffold_AADN04012180.1_chrUn	NT_471622.1	AADN04012180.1
scaffold_AADN04001156.1_chrUn	NT_464321.1	AADN04001156.1
scaffold_AADN04012184.1_chrUn	NT_471623.1	AADN04012184.1
scaffold_AADN04012185.1_chrUn	NT_471624.1	AADN04012185.1
scaffold_AADN04012186.1_chrUn	NT_471625.1	AADN04012186.1
scaffold_AADN04012187.1_chrUn	NT_471626.1	AADN04012187.1
scaffold_AADN04012188.1_chrUn	NT_471627.1	AADN04012188.1
scaffold_AADN04012189.1_chrUn	NT_471628.1	AADN04012189.1
scaffold_AADN04012191.1_chrUn	NT_471629.1	AADN04012191.1
scaffold_AADN04001157.1_chrUn	NT_464322.1	AADN04001157.1
scaffold_AADN04012192.1_chrUn	NT_471630.1	AADN04012192.1
scaffold_AADN04012194.1_chrUn	NT_471631.1	AADN04012194.1
scaffold_AADN04012195.1_chrUn	NT_471632.1	AADN04012195.1
scaffold_KQ759693.1_chrUn	NT_471633.1	KQ759693.1
scaffold_AADN04012198.1_chrUn	NT_471634.1	AADN04012198.1
scaffold_AADN04012202.1_chrUn	NT_471635.1	AADN04012202.1
scaffold_AADN04001158.1_chrUn	NT_464323.1	AADN04001158.1
scaffold_AADN04012203.1_chrUn	NT_471636.1	AADN04012203.1
scaffold_AADN04012204.1_chrUn	NT_471637.1	AADN04012204.1
scaffold_AADN04012205.1_chrUn	NT_471638.1	AADN04012205.1
scaffold_AADN04012206.1_chrUn	NT_471639.1	AADN04012206.1
scaffold_AADN04012209.1_chrUn	NT_471640.1	AADN04012209.1
scaffold_AADN04012210.1_chrUn	NT_471641.1	AADN04012210.1
scaffold_AADN04012212.1_chrUn	NT_471642.1	AADN04012212.1
scaffold_AADN04012213.1_chrUn	NT_471643.1	AADN04012213.1
scaffold_AADN04012214.1_chrUn	NT_471644.1	AADN04012214.1
scaffold_AADN04012217.1_chrUn	NT_471645.1	AADN04012217.1
scaffold_AADN04012218.1_chrUn	NT_471646.1	AADN04012218.1
scaffold_AADN04012221.1_chrUn	NT_471647.1	AADN04012221.1
scaffold_AADN04012222.1_chrUn	NT_471648.1	AADN04012222.1
scaffold_AADN04001159.1_chrUn	NT_464324.1	AADN04001159.1
scaffold_AADN04012224.1_chrUn	NT_471649.1	AADN04012224.1
scaffold_AADN04012225.1_chrUn	NT_471650.1	AADN04012225.1
scaffold_AADN04012227.1_chrUn	NT_471651.1	AADN04012227.1
scaffold_AADN04012228.1_chrUn	NT_471652.1	AADN04012228.1
scaffold_AADN04012229.1_chrUn	NT_471653.1	AADN04012229.1
scaffold_AADN04001160.1_chrUn	NT_464325.1	AADN04001160.1
scaffold_AADN04012231.1_chrUn	NT_471654.1	AADN04012231.1
scaffold_AADN04012233.1_chrUn	NT_471655.1	AADN04012233.1
scaffold_AADN04012235.1_chrUn	NT_471656.1	AADN04012235.1
scaffold_AADN04012237.1_chrUn	NT_471657.1	AADN04012237.1
scaffold_AADN04012238.1_chrUn	NT_471658.1	AADN04012238.1
scaffold_AADN04012239.1_chrUn	NT_471659.1	AADN04012239.1
scaffold_AADN04001161.1_chrUn	NT_464326.1	AADN04001161.1
scaffold_AADN04012240.1_chrUn	NT_471660.1	AADN04012240.1
scaffold_AADN04012241.1_chrUn	NT_471661.1	AADN04012241.1
scaffold_AADN04012244.1_chrUn	NT_471662.1	AADN04012244.1
scaffold_AADN04012247.1_chrUn	NT_471663.1	AADN04012247.1
scaffold_AADN04012248.1_chrUn	NT_471664.1	AADN04012248.1
scaffold_AADN04001162.1_chrUn	NT_464327.1	AADN04001162.1
scaffold_AADN04012249.1_chrUn	NT_471665.1	AADN04012249.1
scaffold_AADN04012251.1_chrUn	NT_471666.1	AADN04012251.1
scaffold_AADN04012253.1_chrUn	NT_471667.1	AADN04012253.1
scaffold_AADN04012255.1_chrUn	NT_471668.1	AADN04012255.1
scaffold_AADN04012256.1_chrUn	NT_471669.1	AADN04012256.1
scaffold_AADN04001163.1_chrUn	NT_464328.1	AADN04001163.1
scaffold_AADN04012258.1_chrUn	NT_471670.1	AADN04012258.1
scaffold_AADN04012265.1_chrUn	NT_471671.1	AADN04012265.1
scaffold_AADN04012268.1_chrUn	NT_471672.1	AADN04012268.1
scaffold_AADN04012269.1_chrUn	NT_471673.1	AADN04012269.1
scaffold_AADN04012270.1_chrUn	NT_471674.1	AADN04012270.1
scaffold_AADN04012272.1_chrUn	NT_471675.1	AADN04012272.1
scaffold_AADN04012273.1_chrUn	NT_471676.1	AADN04012273.1
scaffold_AADN04012274.1_chrUn	NT_471677.1	AADN04012274.1
scaffold_AADN04012275.1_chrUn	NT_471678.1	AADN04012275.1
scaffold_AADN04012276.1_chrUn	NT_471679.1	AADN04012276.1
scaffold_AADN04012277.1_chrUn	NT_471680.1	AADN04012277.1
scaffold_AADN04012279.1_chrUn	NT_471681.1	AADN04012279.1
scaffold_AADN04012280.1_chrUn	NT_471682.1	AADN04012280.1
scaffold_AADN04012284.1_chrUn	NT_471683.1	AADN04012284.1
scaffold_AADN04012288.1_chrUn	NT_471684.1	AADN04012288.1
scaffold_AADN04012290.1_chrUn	NT_471685.1	AADN04012290.1
scaffold_AADN04012291.1_chrUn	NT_471686.1	AADN04012291.1
scaffold_AADN04012292.1_chrUn	NT_471687.1	AADN04012292.1
scaffold_AADN04001167.1_chrUn	NT_464329.1	AADN04001167.1
scaffold_AADN04012294.1_chrUn	NT_471688.1	AADN04012294.1
scaffold_AADN04012295.1_chrUn	NT_471689.1	AADN04012295.1
scaffold_AADN04012296.1_chrUn	NT_471690.1	AADN04012296.1
scaffold_AADN04012298.1_chrUn	NT_471691.1	AADN04012298.1
scaffold_AADN04012299.1_chrUn	NT_471692.1	AADN04012299.1
scaffold_AADN04012300.1_chrUn	NT_471693.1	AADN04012300.1
scaffold_AADN04012301.1_chrUn	NT_471694.1	AADN04012301.1
scaffold_AADN04012303.1_chrUn	NT_471695.1	AADN04012303.1
scaffold_AADN04001168.1_chrUn	NT_464330.1	AADN04001168.1
scaffold_AADN04012304.1_chrUn	NT_471696.1	AADN04012304.1
scaffold_AADN04012305.1_chrUn	NT_471697.1	AADN04012305.1
scaffold_AADN04012306.1_chrUn	NT_471698.1	AADN04012306.1
scaffold_AADN04012307.1_chrUn	NT_471699.1	AADN04012307.1
scaffold_AADN04012309.1_chrUn	NT_471700.1	AADN04012309.1
scaffold_AADN04001169.1_chrUn	NT_464331.1	AADN04001169.1
scaffold_AADN04012313.1_chrUn	NT_471701.1	AADN04012313.1
scaffold_AADN04012314.1_chrUn	NT_471702.1	AADN04012314.1
scaffold_AADN04012315.1_chrUn	NT_471703.1	AADN04012315.1
scaffold_AADN04012319.1_chrUn	NT_471704.1	AADN04012319.1
scaffold_AADN04012321.1_chrUn	NT_471705.1	AADN04012321.1
scaffold_AADN04001170.1_chrUn	NT_464332.1	AADN04001170.1
scaffold_AADN04012324.1_chrUn	NT_471706.1	AADN04012324.1
scaffold_AADN04012325.1_chrUn	NT_471707.1	AADN04012325.1
scaffold_AADN04012326.1_chrUn	NT_471708.1	AADN04012326.1
scaffold_AADN04012327.1_chrUn	NT_471709.1	AADN04012327.1
scaffold_AADN04012328.1_chrUn	NT_471710.1	AADN04012328.1
scaffold_AADN04012330.1_chrUn	NT_471711.1	AADN04012330.1
scaffold_AADN04001171.1_chrUn	NT_464333.1	AADN04001171.1
scaffold_AADN04012332.1_chrUn	NT_471712.1	AADN04012332.1
scaffold_AADN04012334.1_chrUn	NT_471713.1	AADN04012334.1
scaffold_AADN04012337.1_chrUn	NT_471714.1	AADN04012337.1
scaffold_AADN04012339.1_chrUn	NT_471715.1	AADN04012339.1
scaffold_AADN04001172.1_chrUn	NT_464334.1	AADN04001172.1
scaffold_AADN04012342.1_chrUn	NT_471716.1	AADN04012342.1
scaffold_AADN04012343.1_chrUn	NT_471717.1	AADN04012343.1
scaffold_AADN04012344.1_chrUn	NT_471718.1	AADN04012344.1
scaffold_KQ759694.1_chrUn	NT_471719.1	KQ759694.1
scaffold_AADN04012348.1_chrUn	NT_471720.1	AADN04012348.1
scaffold_AADN04012349.1_chrUn	NT_471721.1	AADN04012349.1
scaffold_AADN04012350.1_chrUn	NT_471722.1	AADN04012350.1
scaffold_AADN04012353.1_chrUn	NT_471723.1	AADN04012353.1
scaffold_AADN04012355.1_chrUn	NT_471724.1	AADN04012355.1
scaffold_AADN04012356.1_chrUn	NT_471725.1	AADN04012356.1
scaffold_AADN04012358.1_chrUn	NT_471726.1	AADN04012358.1
scaffold_AADN04001174.1_chrUn	NT_464335.1	AADN04001174.1
scaffold_AADN04012359.1_chrUn	NT_471727.1	AADN04012359.1
scaffold_AADN04012365.1_chrUn	NT_471728.1	AADN04012365.1
scaffold_AADN04012367.1_chrUn	NT_471729.1	AADN04012367.1
scaffold_AADN04001175.1_chrUn	NT_464336.1	AADN04001175.1
scaffold_AADN04012369.1_chrUn	NT_471730.1	AADN04012369.1
scaffold_AADN04012371.1_chrUn	NT_471731.1	AADN04012371.1
scaffold_AADN04012373.1_chrUn	NT_471732.1	AADN04012373.1
scaffold_AADN04012375.1_chrUn	NT_471733.1	AADN04012375.1
scaffold_AADN04012377.1_chrUn	NT_471734.1	AADN04012377.1
scaffold_AADN04001176.1_chrUn	NT_464337.1	AADN04001176.1
scaffold_AADN04012380.1_chrUn	NT_471735.1	AADN04012380.1
scaffold_AADN04012381.1_chrUn	NT_471736.1	AADN04012381.1
scaffold_AADN04012382.1_chrUn	NT_471737.1	AADN04012382.1
scaffold_AADN04012383.1_chrUn	NT_471738.1	AADN04012383.1
scaffold_AADN04012385.1_chrUn	NT_471739.1	AADN04012385.1
scaffold_AADN04012386.1_chrUn	NT_471740.1	AADN04012386.1
scaffold_AADN04012388.1_chrUn	NT_471741.1	AADN04012388.1
scaffold_AADN04001177.1_chrUn	NT_464338.1	AADN04001177.1
scaffold_AADN04012389.1_chrUn	NT_471742.1	AADN04012389.1
scaffold_AADN04012390.1_chrUn	NT_471743.1	AADN04012390.1
scaffold_AADN04012391.1_chrUn	NT_471744.1	AADN04012391.1
scaffold_AADN04012393.1_chrUn	NT_471745.1	AADN04012393.1
scaffold_AADN04012394.1_chrUn	NT_471746.1	AADN04012394.1
scaffold_AADN04012396.1_chrUn	NT_471747.1	AADN04012396.1
scaffold_AADN04012397.1_chrUn	NT_471748.1	AADN04012397.1
scaffold_AADN04012398.1_chrUn	NT_471749.1	AADN04012398.1
scaffold_AADN04012400.1_chrUn	NT_471750.1	AADN04012400.1
scaffold_AADN04012401.1_chrUn	NT_471751.1	AADN04012401.1
scaffold_AADN04012402.1_chrUn	NT_471752.1	AADN04012402.1
scaffold_AADN04012403.1_chrUn	NT_471753.1	AADN04012403.1
scaffold_AADN04012404.1_chrUn	NT_471754.1	AADN04012404.1
scaffold_AADN04012410.1_chrUn	NT_471755.1	AADN04012410.1
scaffold_AADN04012414.1_chrUn	NT_471756.1	AADN04012414.1
scaffold_AADN04012415.1_chrUn	NT_471757.1	AADN04012415.1
scaffold_AADN04001179.1_chrUn	NT_464339.1	AADN04001179.1
scaffold_AADN04012416.1_chrUn	NT_471758.1	AADN04012416.1
scaffold_AADN04012417.1_chrUn	NT_471759.1	AADN04012417.1
scaffold_AADN04012418.1_chrUn	NT_471760.1	AADN04012418.1
scaffold_AADN04012419.1_chrUn	NT_471761.1	AADN04012419.1
scaffold_AADN04012421.1_chrUn	NT_471762.1	AADN04012421.1
scaffold_AADN04012425.1_chrUn	NT_471763.1	AADN04012425.1
scaffold_AADN04001180.1_chrUn	NT_464340.1	AADN04001180.1
scaffold_AADN04012426.1_chrUn	NT_471764.1	AADN04012426.1
scaffold_AADN04012427.1_chrUn	NT_471765.1	AADN04012427.1
scaffold_AADN04012428.1_chrUn	NT_471766.1	AADN04012428.1
scaffold_AADN04012430.1_chrUn	NT_471767.1	AADN04012430.1
scaffold_AADN04012432.1_chrUn	NT_471768.1	AADN04012432.1
scaffold_AADN04012433.1_chrUn	NT_471769.1	AADN04012433.1
scaffold_AADN04012435.1_chrUn	NT_471770.1	AADN04012435.1
scaffold_AADN04012436.1_chrUn	NT_471771.1	AADN04012436.1
scaffold_AADN04012438.1_chrUn	NT_471772.1	AADN04012438.1
scaffold_AADN04012440.1_chrUn	NT_471773.1	AADN04012440.1
scaffold_AADN04012441.1_chrUn	NT_471774.1	AADN04012441.1
scaffold_AADN04012442.1_chrUn	NT_471775.1	AADN04012442.1
scaffold_AADN04012443.1_chrUn	NT_471776.1	AADN04012443.1
scaffold_AADN04012444.1_chrUn	NT_471777.1	AADN04012444.1
scaffold_AADN04012447.1_chrUn	NT_471778.1	AADN04012447.1
scaffold_AADN04012449.1_chrUn	NT_471779.1	AADN04012449.1
scaffold_AADN04012451.1_chrUn	NT_471780.1	AADN04012451.1
scaffold_AADN04012452.1_chrUn	NT_471781.1	AADN04012452.1
scaffold_AADN04012454.1_chrUn	NT_471782.1	AADN04012454.1
scaffold_AADN04001183.1_chrUn	NT_464341.1	AADN04001183.1
scaffold_AADN04012456.1_chrUn	NT_471783.1	AADN04012456.1
scaffold_AADN04012458.1_chrUn	NT_471784.1	AADN04012458.1
scaffold_AADN04012461.1_chrUn	NT_471785.1	AADN04012461.1
scaffold_AADN04012462.1_chrUn	NT_471786.1	AADN04012462.1
scaffold_AADN04012464.1_chrUn	NT_471787.1	AADN04012464.1
scaffold_AADN04001184.1_chrUn	NT_464342.1	AADN04001184.1
scaffold_AADN04012466.1_chrUn	NT_471788.1	AADN04012466.1
scaffold_AADN04012467.1_chrUn	NT_471789.1	AADN04012467.1
scaffold_AADN04012468.1_chrUn	NT_471790.1	AADN04012468.1
scaffold_AADN04012469.1_chrUn	NT_471791.1	AADN04012469.1
scaffold_AADN04012475.1_chrUn	NT_471792.1	AADN04012475.1
scaffold_AADN04012479.1_chrUn	NT_471793.1	AADN04012479.1
scaffold_AADN04012480.1_chrUn	NT_471794.1	AADN04012480.1
scaffold_AADN04012481.1_chrUn	NT_471795.1	AADN04012481.1
scaffold_AADN04012483.1_chrUn	NT_471796.1	AADN04012483.1
scaffold_AADN04012484.1_chrUn	NT_471797.1	AADN04012484.1
scaffold_AADN04012485.1_chrUn	NT_471798.1	AADN04012485.1
scaffold_AADN04012491.1_chrUn	NT_471799.1	AADN04012491.1
scaffold_AADN04012492.1_chrUn	NT_471800.1	AADN04012492.1
scaffold_AADN04012495.1_chrUn	NT_471801.1	AADN04012495.1
scaffold_AADN04012496.1_chrUn	NT_471802.1	AADN04012496.1
scaffold_AADN04012498.1_chrUn	NT_471803.1	AADN04012498.1
scaffold_AADN04012503.1_chrUn	NT_471804.1	AADN04012503.1
scaffold_AADN04001185.1_chrUn	NT_464343.1	AADN04001185.1
scaffold_AADN04012504.1_chrUn	NT_471805.1	AADN04012504.1
scaffold_AADN04012507.1_chrUn	NT_471806.1	AADN04012507.1
scaffold_AADN04012511.1_chrUn	NT_471807.1	AADN04012511.1
scaffold_AADN04001186.1_chrUn	NT_464344.1	AADN04001186.1
scaffold_AADN04012514.1_chrUn	NT_471808.1	AADN04012514.1
scaffold_AADN04012517.1_chrUn	NT_471809.1	AADN04012517.1
scaffold_AADN04012518.1_chrUn	NT_471810.1	AADN04012518.1
scaffold_AADN04012519.1_chrUn	NT_471811.1	AADN04012519.1
scaffold_AADN04012520.1_chrUn	NT_471812.1	AADN04012520.1
scaffold_AADN04012521.1_chrUn	NT_471813.1	AADN04012521.1
scaffold_AADN04012523.1_chrUn	NT_471814.1	AADN04012523.1
scaffold_AADN04012524.1_chrUn	NT_471815.1	AADN04012524.1
scaffold_AADN04012525.1_chrUn	NT_471816.1	AADN04012525.1
scaffold_AADN04012529.1_chrUn	NT_471817.1	AADN04012529.1
scaffold_AADN04012531.1_chrUn	NT_471818.1	AADN04012531.1
scaffold_AADN04012535.1_chrUn	NT_471819.1	AADN04012535.1
scaffold_AADN04012536.1_chrUn	NT_471820.1	AADN04012536.1
scaffold_AADN04012537.1_chrUn	NT_471821.1	AADN04012537.1
scaffold_AADN04012542.1_chrUn	NT_471822.1	AADN04012542.1
scaffold_AADN04012543.1_chrUn	NT_471823.1	AADN04012543.1
scaffold_AADN04012544.1_chrUn	NT_471824.1	AADN04012544.1
scaffold_AADN04012545.1_chrUn	NT_471825.1	AADN04012545.1
scaffold_AADN04012546.1_chrUn	NT_471826.1	AADN04012546.1
scaffold_AADN04012547.1_chrUn	NT_471827.1	AADN04012547.1
scaffold_AADN04012548.1_chrUn	NT_471828.1	AADN04012548.1
scaffold_KQ759695.1_chrUn	NT_471829.1	KQ759695.1
scaffold_AADN04012557.1_chrUn	NT_471830.1	AADN04012557.1
scaffold_AADN04012559.1_chrUn	NT_471831.1	AADN04012559.1
scaffold_AADN04012561.1_chrUn	NT_471832.1	AADN04012561.1
scaffold_AADN04012563.1_chrUn	NT_471833.1	AADN04012563.1
scaffold_AADN04012564.1_chrUn	NT_471834.1	AADN04012564.1
scaffold_AADN04012566.1_chrUn	NT_471835.1	AADN04012566.1
scaffold_AADN04012567.1_chrUn	NT_471836.1	AADN04012567.1
scaffold_AADN04012568.1_chrUn	NT_471837.1	AADN04012568.1
scaffold_AADN04012571.1_chrUn	NT_471838.1	AADN04012571.1
scaffold_AADN04012572.1_chrUn	NT_471839.1	AADN04012572.1
scaffold_AADN04012574.1_chrUn	NT_471840.1	AADN04012574.1
scaffold_AADN04012575.1_chrUn	NT_471841.1	AADN04012575.1
scaffold_AADN04012578.1_chrUn	NT_471842.1	AADN04012578.1
scaffold_AADN04012580.1_chrUn	NT_471843.1	AADN04012580.1
scaffold_AADN04012582.1_chrUn	NT_471844.1	AADN04012582.1
scaffold_AADN04012584.1_chrUn	NT_471845.1	AADN04012584.1
scaffold_AADN04001191.1_chrUn	NT_464345.1	AADN04001191.1
scaffold_AADN04012585.1_chrUn	NT_471846.1	AADN04012585.1
scaffold_AADN04012586.1_chrUn	NT_471847.1	AADN04012586.1
scaffold_AADN04012587.1_chrUn	NT_471848.1	AADN04012587.1
scaffold_AADN04012588.1_chrUn	NT_471849.1	AADN04012588.1
scaffold_AADN04012589.1_chrUn	NT_471850.1	AADN04012589.1
scaffold_AADN04012590.1_chrUn	NT_471851.1	AADN04012590.1
scaffold_AADN04012593.1_chrUn	NT_471852.1	AADN04012593.1
scaffold_AADN04001192.1_chrUn	NT_464346.1	AADN04001192.1
scaffold_AADN04012595.1_chrUn	NT_471853.1	AADN04012595.1
scaffold_AADN04012597.1_chrUn	NT_471854.1	AADN04012597.1
scaffold_AADN04012598.1_chrUn	NT_471855.1	AADN04012598.1
scaffold_AADN04012604.1_chrUn	NT_471856.1	AADN04012604.1
scaffold_AADN04012605.1_chrUn	NT_471857.1	AADN04012605.1
scaffold_AADN04012610.1_chrUn	NT_471858.1	AADN04012610.1
scaffold_AADN04012612.1_chrUn	NT_471859.1	AADN04012612.1
scaffold_AADN04012613.1_chrUn	NT_471860.1	AADN04012613.1
scaffold_AADN04012614.1_chrUn	NT_471861.1	AADN04012614.1
scaffold_AADN04012615.1_chrUn	NT_471862.1	AADN04012615.1
scaffold_AADN04012616.1_chrUn	NT_471863.1	AADN04012616.1
scaffold_AADN04012617.1_chrUn	NT_471864.1	AADN04012617.1
scaffold_AADN04012621.1_chrUn	NT_471865.1	AADN04012621.1
scaffold_KQ759696.1_chrUn	NT_471866.1	KQ759696.1
scaffold_AADN04001195.1_chrUn	NT_464347.1	AADN04001195.1
scaffold_AADN04012627.1_chrUn	NT_471867.1	AADN04012627.1
scaffold_AADN04012628.1_chrUn	NT_471868.1	AADN04012628.1
scaffold_AADN04012629.1_chrUn	NT_471869.1	AADN04012629.1
scaffold_AADN04012630.1_chrUn	NT_471870.1	AADN04012630.1
scaffold_AADN04012631.1_chrUn	NT_471871.1	AADN04012631.1
scaffold_AADN04012634.1_chrUn	NT_471872.1	AADN04012634.1
scaffold_AADN04012636.1_chrUn	NT_471873.1	AADN04012636.1
scaffold_AADN04012637.1_chrUn	NT_471874.1	AADN04012637.1
scaffold_KQ759697.1_chrUn	NT_471875.1	KQ759697.1
scaffold_AADN04012641.1_chrUn	NT_471876.1	AADN04012641.1
scaffold_AADN04012643.1_chrUn	NT_471877.1	AADN04012643.1
scaffold_AADN04012644.1_chrUn	NT_471878.1	AADN04012644.1
scaffold_AADN04012645.1_chrUn	NT_471879.1	AADN04012645.1
scaffold_AADN04001196.1_chrUn	NT_464348.1	AADN04001196.1
scaffold_AADN04012647.1_chrUn	NT_471880.1	AADN04012647.1
scaffold_AADN04012651.1_chrUn	NT_471881.1	AADN04012651.1
scaffold_AADN04012652.1_chrUn	NT_471882.1	AADN04012652.1
scaffold_AADN04012654.1_chrUn	NT_471883.1	AADN04012654.1
scaffold_KQ759560.1_chrUn	NT_464349.1	KQ759560.1
scaffold_AADN04012656.1_chrUn	NT_471884.1	AADN04012656.1
scaffold_AADN04012657.1_chrUn	NT_471885.1	AADN04012657.1
scaffold_AADN04012658.1_chrUn	NT_471886.1	AADN04012658.1
scaffold_AADN04012659.1_chrUn	NT_471887.1	AADN04012659.1
scaffold_AADN04012660.1_chrUn	NT_471888.1	AADN04012660.1
scaffold_AADN04012661.1_chrUn	NT_471889.1	AADN04012661.1
scaffold_AADN04012663.1_chrUn	NT_471890.1	AADN04012663.1
scaffold_AADN04012664.1_chrUn	NT_471891.1	AADN04012664.1
scaffold_AADN04012665.1_chrUn	NT_471892.1	AADN04012665.1
scaffold_AADN04012666.1_chrUn	NT_471893.1	AADN04012666.1
scaffold_AADN04012668.1_chrUn	NT_471894.1	AADN04012668.1
scaffold_AADN04012669.1_chrUn	NT_471895.1	AADN04012669.1
scaffold_AADN04012671.1_chrUn	NT_471896.1	AADN04012671.1
scaffold_AADN04012676.1_chrUn	NT_471897.1	AADN04012676.1
scaffold_AADN04012677.1_chrUn	NT_471898.1	AADN04012677.1
scaffold_AADN04012682.1_chrUn	NT_471899.1	AADN04012682.1
scaffold_AADN04001201.1_chrUn	NT_464350.1	AADN04001201.1
scaffold_AADN04012688.1_chrUn	NT_471900.1	AADN04012688.1
scaffold_AADN04012689.1_chrUn	NT_471901.1	AADN04012689.1
scaffold_AADN04001202.1_chrUn	NT_464351.1	AADN04001202.1
scaffold_AADN04012696.1_chrUn	NT_471902.1	AADN04012696.1
scaffold_AADN04012697.1_chrUn	NT_471903.1	AADN04012697.1
scaffold_AADN04012698.1_chrUn	NT_471904.1	AADN04012698.1
scaffold_AADN04012699.1_chrUn	NT_471905.1	AADN04012699.1
scaffold_AADN04012700.1_chrUn	NT_471906.1	AADN04012700.1
scaffold_AADN04012702.1_chrUn	NT_471907.1	AADN04012702.1
scaffold_AADN04012703.1_chrUn	NT_471908.1	AADN04012703.1
scaffold_AADN04012704.1_chrUn	NT_471909.1	AADN04012704.1
scaffold_KQ759561.1_chrUn	NT_464352.1	KQ759561.1
scaffold_AADN04012706.1_chrUn	NT_471910.1	AADN04012706.1
scaffold_AADN04012707.1_chrUn	NT_471911.1	AADN04012707.1
scaffold_KQ759698.1_chrUn	NT_471912.1	KQ759698.1
scaffold_AADN04012710.1_chrUn	NT_471913.1	AADN04012710.1
scaffold_AADN04012712.1_chrUn	NT_471914.1	AADN04012712.1
scaffold_AADN04012715.1_chrUn	NT_471915.1	AADN04012715.1
scaffold_AADN04012716.1_chrUn	NT_471916.1	AADN04012716.1
scaffold_AADN04012718.1_chrUn	NT_471917.1	AADN04012718.1
scaffold_AADN04012719.1_chrUn	NT_471918.1	AADN04012719.1
scaffold_AADN04012720.1_chrUn	NT_471919.1	AADN04012720.1
scaffold_AADN04012721.1_chrUn	NT_471920.1	AADN04012721.1
scaffold_AADN04012722.1_chrUn	NT_471921.1	AADN04012722.1
scaffold_AADN04012724.1_chrUn	NT_471922.1	AADN04012724.1
